X;BS_date;BS_ID;BS01_01;BS01_02;BS01_03;BS02_01;BS02_02;BS02_03;BS02_04;BS03_01;BS03_02;BS03_03;BS03_04;BS04_01;BS04_02;BS04_03;BS04_04;BS05_01;BS05_02;BS05_03;BS05_04;BS05_05;BS05_06;BS05_07;BS05_08;BS05_09;BS05_10;BS06_01;BS06_03;BS06_02;BS06_04;BS06_05;BS07_01;BS07_02;BS07_03;BS08_01;BS08_02;BS08_03;BS09_01;BS09_02;BS09_03;BS09_04;BS09_05;BS09_06;BS09_07;BS09_08;BS09_09;BS09_10;BS10_01;BS10_02;BS10_03;BS10_04;BS11_01;BS11_02;BS11_03;BS11_04;BS11_05;BS11_06;BS12_01;BS12_02;BS12_03;BS13_01;BS13_02;BS14_01;BS14_02;BS14_03;BS15_01;BS15_02;BS15_03;BS16_01;BS16_02;BS16_03;BS16_04;BS17_01;BS17_02;BS17_03;BS17_04;BS17_05;BS17_06;BS17_07;BS17_08;BS17_09;BS17_10;BS17_11;BS17_12;BS17_13;BS17_14;BS17_15;BS18_01;BS18_02;BS18_03;BS18_04;BS18_05;BS18_06;BS19_01;BS19_02;BS19_03;BS19_04
;2023-05-14;ki38tijo;4;5;5;5;4;5;4;4;3;5;4;5;3;4;4;2;4;2;3;3;4;4;3;3;4;5;4;3;4;5;4;4;5;5;5;5;4;5;3;3;2;2;2;5;5;3;5;5;6;4;5;4;4;3;3;3;5;3;4;5;5;4;3;5;6;4;4;4;4;4;5;8;9;8;7;8;8;9;8;7;8;7;7;6;8;7;6;2;3;3;2;6;5;7;1;7
;2023-05-15;sw3sous1;4;5;6;6;4;4;5;4;6;6;4;2;2;2;4;2;4;4;3;3;2;3;4;5;5;7;6;6;4;2;4;4;4;5;6;5;2;2;2;5;5;2;2;2;7;2;4;5;6;5;6;5;4;4;5;5;4;5;2;4;5;4;6;6;6;4;4;3;2;5;4;4;8;6;9;11;8;9;8;8;7;6;9;8;5;4;7;1;2;5;4;5;6;7;7;7
;2023-05-16;tttjh8g5;6;5;3;5;6;3;2;4;2;5;7;1;1;4;5;1;5;2;3;1;2;4;3;4;2;7;7;5;6;2;6;4;7;5;7;4;2;5;4;2;1;3;6;4;7;3;3;6;6;6;5;5;5;6;5;6;2;1;2;5;7;1;4;5;7;4;5;5;2;7;7;6;11;8;10;11;11;11;8;8;7;6;11;7;11;9;7;3;1;2;3;6;4;7;1;7
;2023-05-17;u84dgoxj;4;4;6;6;4;5;4;5;6;6;4;1;1;1;2;3;4;2;3;4;4;4;4;3;4;2;2;1;3;4;6;4;6;5;5;5;5;3;5;2;2;1;2;3;5;2;4;3;4;5;4;5;4;3;4;4;5;4;5;3;5;4;3;5;6;4;4;3;2;2;3;7;3;8;9;7;8;8;9;7;8;8;5;8;8;7;2;4;5;4;3;3;5;5;1;2
;2023-05-17;ti6i0zmo;4;5;4;2;2;2;3;2;3;3;3;2;2;2;5;3;4;3;4;2;3;3;3;4;5;6;6;6;6;5;4;2;4;6;6;4;5;5;5;5;5;4;5;6;6;4;6;6;5;6;7;6;6;5;6;6;4;4;4;4;4;5;5;4;6;4;4;5;4;5;4;4;4;6;3;4;2;7;6;7;7;6;5;6;8;8;5;2;3;5;2;4;3;4;7;4
;2023-05-18;ki38tijo;5;5;5;5;4;5;4;4;4;5;5;3;2;2;3;2;4;2;3;3;3;4;3;3;4;5;4;4;3;5;4;3;5;3;4;5;5;5;4;3;4;2;3;5;5;4;5;5;4;5;4;5;3;5;2;2;6;3;4;5;4;5;4;3;5;4;3;4;3;4;6;8;8;7;6;7;6;7;8;8;7;7;7;8;6;6;5;2;2;3;1;6;5;6;1;7
;2023-05-18;1yqt7phg;4;5;7;6;5;6;3;7;4;2;1;4;3;2;6;5;3;2;1;1;5;5;5;1;4;6;7;3;1;3;7;6;7;4;7;3;5;1;3;2;4;1;2;3;6;5;3;5;4;2;2;5;2;6;3;4;7;6;7;7;5;7;7;6;5;4;6;3;2;4;6;11;10;10;10;11;11;9;10;11;11;11;7;10;6;11;6;4;3;1;5;2;6;7;7;3
;2023-05-18;07igutj0;6;6;6;6;5;5;5;6;6;6;6;2;2;2;3;3;2;4;2;3;4;5;4;2;3;2;2;1;1;2;7;7;7;2;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;2;2;2;1;1;1;2;1;1;2;2;5;3;5;5;5;5;1;10;10;8;8;10;10;6;6;6;1;2;2;6;2;6;6;1;6
;2023-05-18;2ze615ki;5;5;6;5;4;5;4;6;7;7;6;5;2;4;2;3;2;3;4;4;4;4;4;5;3;3;6;3;3;2;2;1;1;3;4;2;2;1;1;1;2;2;1;2;4;1;2;2;1;2;4;3;2;4;3;3;3;2;2;4;3;4;4;3;3;1;1;2;2;3;2;5;7;5;3;3;3;11;11;9;3;3;5;3;3;9;3;2;3;2;3;5;2;4;1;4
;2023-05-19;imz1sz6d;5;5;6;5;7;6;6;5;5;5;7;2;2;2;2;4;4;5;2;1;5;4;4;2;3;5;4;3;3;2;2;2;5;2;3;3;4;2;2;2;2;1;2;1;1;1;3;3;3;3;1;1;1;1;1;2;3;5;3;2;3;3;2;5;3;2;1;2;2;3;3;2;3;2;4;7;4;6;8;7;6;5;4;6;4;5;3;3;5;4;5;3;4;3;1;7
;2023-05-20;r3f01tls;5;6;5;6;5;4;2;5;3;2;6;1;1;1;5;4;2;2;5;3;4;1;4;4;2;7;7;7;6;3;2;1;5;2;6;4;2;2;1;4;1;1;1;1;5;2;2;5;5;4;5;3;2;2;4;4;1;1;1;2;2;1;1;1;6;1;2;6;5;7;6;3;9;11;10;10;11;11;11;5;10;7;10;8;10;5;2;1;5;3;3;2;1;5;1;5
;2023-05-20;judkv65u;4;6;4;4;5;5;4;4;4;3;5;1;1;2;2;3;4;4;3;4;3;5;4;3;3;3;5;5;3;1;5;5;5;4;5;2;1;2;1;1;1;1;1;3;3;1;2;3;3;2;3;3;2;3;2;2;5;5;5;5;5;3;3;3;4;4;3;4;3;3;4;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;2;2;1;3;5;1;6;6;1;6
;2023-05-20;110cu3mn;3;5;3;3;3;3;3;3;4;3;6;2;2;2;4;4;4;3;2;4;3;3;4;2;4;6;5;2;6;3;3;2;6;3;7;5;2;2;5;2;1;1;1;1;5;1;5;5;4;3;6;6;3;3;5;5;4;2;2;2;2;2;2;2;2;2;2;5;3;6;6;6;9;7;8;9;9;11;9;5;8;7;3;3;5;5;6;5;3;4;4;3;6;7;1;6
;2023-05-20;2323358;5;4;6;3;7;5;6;6;4;2;5;1;1;1;1;3;4;5;3;1;4;4;4;1;5;6;5;3;4;6;6;6;3;3;4;6;3;4;5;1;3;4;3;2;3;1;4;2;3;4;5;4;3;5;2;3;4;5;4;5;4;5;4;6;5;3;6;6;4;6;3;6;8;4;7;3;8;7;8;9;10;6;8;7;9;5;6;4;3;3;3;3;6;4;2;6
;2023-05-20;i3c09wbe;3;5;5;2;2;1;3;2;5;2;2;1;2;1;7;3;4;2;4;1;1;3;4;5;5;6;7;6;5;1;4;4;5;6;6;4;1;5;6;3;3;5;5;2;6;5;6;6;6;5;6;6;4;5;3;2;6;5;5;7;7;7;7;7;7;5;6;5;5;6;6;10;10;10;10;11;10;11;10;10;10;9;9;7;11;10;5;1;2;4;3;3;2;6;1;3
;2023-05-20;1hpx6k84;4;4;5;3;4;4;6;7;6;6;7;1;1;1;1;5;5;1;2;1;4;3;5;4;3;7;5;6;4;1;5;5;6;4;6;1;1;3;6;1;1;2;4;6;6;1;2;2;4;4;1;6;5;6;6;6;6;4;5;7;7;7;7;7;6;4;5;3;2;3;7;11;6;11;6;9;11;11;9;9;11;8;11;8;11;9;6;1;2;2;3;7;7;7;1;7
;2023-05-20;we5lbwub;7;7;7;7;7;5;5;7;7;6;7;1;1;1;1;5;4;2;1;5;5;5;3;1;5;2;2;1;2;2;6;6;6;7;7;7;5;4;1;6;1;4;4;2;6;3;5;5;3;4;7;7;3;2;3;3;3;2;2;1;6;2;2;1;6;2;2;3;3;6;6;10;11;10;11;11;10;11;11;11;11;9;10;8;11;7;2;3;2;6;6;5;2;5;1;4
;2023-05-20;zyjosap9;3;3;3;5;5;5;6;2;2;2;3;6;5;4;6;2;4;1;2;5;4;2;4;4;4;7;3;5;4;6;3;3;4;6;7;5;6;6;5;5;6;5;6;5;7;2;7;7;7;6;5;5;5;4;5;5;6;6;2;4;6;4;3;3;3;4;5;5;5;5;5;5;8;4;5;5;4;8;9;7;7;7;5;9;7;8;6;4;2;3;4;2;3;5;1;6
;2023-05-20;od2gt8fw;6;6;6;7;6;5;4;7;6;7;7;1;1;1;1;5;5;2;1;2;5;5;5;2;4;2;5;4;2;2;7;7;7;4;3;7;2;4;1;1;2;2;2;2;2;1;4;1;2;4;5;2;4;4;4;1;6;5;4;7;7;6;4;6;7;1;4;5;3;7;7;8;10;8;7;10;10;9;10;8;11;10;11;10;9;11;2;2;1;2;4;1;5;7;1;6
;2023-05-20;ngoqu5fr;7;7;6;7;7;7;7;7;7;7;5;1;1;1;1;4;5;4;4;2;4;3;5;4;5;7;7;5;5;1;4;4;4;3;7;3;1;1;1;1;3;2;1;1;4;2;3;3;3;3;4;4;1;1;1;1;3;3;3;2;4;4;4;4;3;3;2;4;1;4;4;8;8;11;9;11;11;11;8;8;8;9;8;7;6;6;1;7;2;2;6;1;4;5;1;7
;2023-05-20;qq52peh8;5;3;6;3;6;5;7;3;6;6;4;3;6;2;5;2;5;2;3;2;3;5;4;3;5;7;6;5;5;6;1;1;1;2;7;7;1;1;1;5;1;3;1;2;3;1;1;1;7;1;2;7;4;6;5;5;4;1;1;6;5;3;4;2;6;6;1;7;7;7;7;10;9;3;1;4;4;9;2;6;1;3;5;8;2;1;7;1;2;2;5;3;1;6;1;5
;2023-05-21;dgw6atpz;6;5;6;7;7;7;7;7;6;7;6;1;1;1;1;5;5;4;2;3;4;4;3;4;4;3;5;4;2;1;7;7;6;5;5;3;1;1;2;1;1;1;1;1;3;2;1;1;1;1;4;4;2;3;5;4;7;5;6;7;7;6;6;6;6;6;4;5;4;5;6;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;1;2;3;6;3;1;1;2;1;2
;2023-05-21;rf863cqc;4;3;5;5;4;4;6;4;3;3;2;3;3;3;6;4;4;3;5;1;3;4;4;4;5;7;5;4;2;1;4;3;5;3;6;6;6;3;1;6;1;1;6;6;5;2;5;5;6;5;6;6;2;2;1;2;2;2;4;3;3;4;4;4;3;3;3;2;2;5;2;4;3;6;5;9;9;10;9;9;8;9;9;10;10;10;6;2;2;2;6;6;6;7;1;4
;2023-05-21;ghmh3olt;5;5;4;5;4;5;5;7;7;7;6;1;2;2;2;2;4;3;3;2;5;4;3;4;5;5;3;2;3;4;4;4;4;4;5;5;4;4;1;4;1;4;5;6;5;4;4;3;4;3;4;4;5;4;5;5;5;5;5;6;6;6;6;6;6;6;5;4;5;6;4;7;8;9;7;8;10;8;11;9;11;7;10;11;11;11;5;7;1;6;1;4;4;4;1;4
;2023-05-21;pir7k37c;5;5;5;6;5;7;3;7;7;7;6;1;2;1;1;3;4;1;1;2;5;3;2;4;5;2;1;2;1;1;6;3;6;6;6;6;5;6;1;3;2;2;1;6;1;1;7;4;6;2;7;6;3;5;6;6;2;1;1;4;7;3;2;4;6;7;1;3;2;5;2;7;8;11;11;11;11;10;10;10;10;10;8;11;10;10;5;2;3;2;5;2;6;7;1;4
;2023-05-21;oagsgy8g;5;5;5;5;6;6;5;3;3;3;4;3;4;3;7;2;2;2;2;2;4;3;5;4;5;6;2;5;5;6;6;6;7;5;6;5;5;3;6;6;3;5;5;2;5;1;4;5;4;3;5;5;5;5;5;5;5;3;7;7;6;6;7;6;4;6;4;4;4;5;7;8;8;10;8;8;8;10;9;10;9;8;10;10;11;11;7;3;2;3;3;5;3;5;1;5
;2023-05-21;cmil14pe;7;5;7;7;5;6;7;6;7;6;7;1;1;1;1;4;5;4;1;4;1;3;5;3;5;2;2;3;1;1;5;3;4;4;5;3;1;1;1;5;1;3;5;1;5;1;1;1;1;1;3;5;4;1;2;2;3;2;2;5;4;3;2;5;4;1;1;2;2;4;4;11;11;11;11;11;9;11;11;11;11;11;11;11;11;11;2;1;2;4;6;3;5;6;1;5
;2023-05-21;joqn391r;6;6;5;6;7;4;5;7;4;4;1;7;1;4;5;3;4;4;1;3;5;3;4;4;5;6;5;5;6;7;6;5;4;5;6;6;5;4;5;4;6;6;7;6;5;6;5;6;6;6;6;4;7;5;7;7;5;6;6;6;5;6;7;5;6;5;6;5;4;6;6;7;8;7;6;8;9;9;7;9;7;9;8;9;10;9;5;2;4;6;3;6;5;6;5;6
;2023-05-21;vzjxr8sk;3;3;3;4;3;2;2;3;4;4;4;2;3;2;2;3;5;2;5;4;2;2;3;3;3;5;5;1;7;2;1;1;3;7;7;5;1;6;3;5;4;4;3;3;5;4;5;4;4;4;6;5;3;4;4;6;3;3;4;3;4;5;4;4;1;1;2;7;6;7;7;4;3;7;7;10;11;8;8;7;8;5;8;6;9;8;6;3;4;4;4;4;1;2;1;3
;2023-05-21;j7y9s9mo;7;6;7;6;6;6;5;6;7;7;7;1;1;1;1;2;5;4;2;2;4;2;5;2;5;7;4;2;3;1;3;2;2;5;7;5;2;2;3;3;2;5;3;6;6;3;5;5;5;5;6;6;1;1;3;3;4;2;2;4;4;2;2;2;4;4;4;2;2;2;2;5;8;9;6;8;10;10;9;8;10;6;9;6;10;10;5;2;1;4;5;2;4;5;1;5
;2023-05-21;3o2b1j47;6;6;5;6;6;6;6;6;6;6;5;2;2;2;3;4;3;4;2;3;5;4;4;3;3;5;5;4;2;3;6;4;3;2;5;3;2;2;2;2;2;2;2;1;3;1;2;2;3;2;4;4;2;2;3;3;1;1;1;1;2;2;2;1;6;2;2;6;5;5;6;8;6;8;7;8;8;8;7;8;8;9;7;9;10;10;4;3;6;5;3;4;5;5;1;5
;2023-05-21;vid09aia;6;6;6;6;6;5;6;6;7;5;7;1;2;1;1;3;4;2;2;2;4;3;5;2;4;1;2;1;2;1;6;7;6;2;2;4;1;1;1;4;1;1;2;3;3;1;2;3;2;2;3;4;3;3;3;3;3;3;2;3;3;4;4;4;4;3;3;6;5;7;6;8;9;8;8;8;7;9;8;8;8;7;7;7;9;9;5;2;1;1;5;4;4;5;1;5
;2023-05-21;i44r7zda;6;5;6;4;6;6;5;4;4;3;3;1;2;2;4;4;4;3;2;2;5;3;4;2;4;2;4;2;1;5;7;7;2;6;6;6;4;4;5;1;5;3;5;4;6;3;5;6;5;6;5;5;2;3;4;3;3;3;3;5;5;4;3;6;2;3;3;4;3;3;5;8;8;9;8;10;10;7;10;9;9;8;7;8;10;10;5;3;4;6;2;5;3;4;1;4
;2023-05-21;mu12rkyw;3;2;4;3;3;4;6;3;7;5;3;1;1;1;5;3;4;2;3;2;3;2;4;4;5;7;4;6;5;7;7;5;7;5;6;5;3;6;5;3;2;3;5;5;6;6;6;6;6;7;6;6;5;5;7;6;4;3;4;4;5;3;4;5;5;4;6;5;2;4;5;11;10;8;8;9;10;9;9;8;9;10;9;10;10;11;6;2;4;6;1;5;7;7;1;7
;2023-05-21;dyfs8gmt;6;6;6;6;6;6;6;5;5;5;5;3;3;3;3;3;4;4;4;4;3;2;4;4;3;5;5;5;4;4;5;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;4;3;2;3;3;3;7;7;1;7
;2023-05-21;mbgamfzg;5;4;4;5;6;6;6;2;2;3;3;4;4;4;3;2;4;2;2;1;5;4;5;4;4;7;7;5;6;6;5;4;4;5;5;4;5;2;2;2;3;4;2;6;6;5;5;4;5;5;5;3;4;3;4;5;5;4;2;5;5;5;6;5;4;3;3;3;4;4;3;9;8;7;7;9;5;11;7;7;9;8;10;11;10;10;5;2;2;6;6;1;2;2;1;2
;2023-05-22;6g12mrih;6;6;7;7;6;6;5;6;6;6;7;2;2;2;2;5;4;5;4;2;5;4;4;2;4;3;3;2;3;2;7;6;7;3;4;4;1;2;4;3;3;4;2;5;4;3;3;3;3;3;3;3;4;4;4;4;5;5;6;6;6;6;6;6;5;5;5;4;4;4;4;7;8;7;7;8;8;11;9;9;9;8;10;9;10;10;3;1;1;1;5;1;6;6;1;6
;2023-05-22;425r1bwh;6;6;6;6;5;5;5;4;3;2;3;4;5;5;4;2;3;2;2;3;4;3;2;3;4;5;4;5;6;7;6;5;5;5;4;5;4;4;5;4;6;5;5;5;4;6;6;5;5;6;6;6;6;6;5;5;5;5;4;5;6;5;5;4;4;5;5;5;4;5;6;8;9;9;8;7;5;7;9;10;7;8;8;7;7;9;6;3;2;6;2;5;2;2;1;6
;2023-05-22;tso8ntq4;6;6;6;6;4;4;4;7;7;7;7;1;1;1;1;3;5;4;1;3;4;4;4;2;5;3;5;2;5;5;6;4;5;4;6;5;2;1;1;1;2;2;4;3;5;2;4;3;4;4;4;5;4;4;5;5;4;3;1;3;4;3;4;4;5;5;4;5;5;5;5;6;8;10;6;9;10;11;9;9;10;9;11;9;8;3;3;1;2;7;3;1;4;5;1;6
;2023-05-22;bkij1ijo;4;5;5;4;3;3;4;7;7;6;6;1;1;1;2;4;4;4;4;4;3;4;3;2;4;5;3;2;3;5;3;2;3;2;6;4;6;2;1;1;1;1;2;2;5;2;2;2;3;4;3;5;3;5;4;2;3;4;5;4;5;5;5;6;3;2;2;5;3;3;5;8;10;9;7;7;8;10;10;8;10;10;10;9;10;10;7;4;4;6;1;4;6;7;7;6
;2023-05-22;7m7bw33l;4;4;4;5;5;5;6;5;5;5;4;1;1;1;4;1;4;1;3;3;2;5;4;4;5;4;4;2;2;1;3;1;4;6;7;7;4;3;1;1;1;1;4;7;7;7;7;4;4;4;5;5;5;5;5;5;5;5;1;5;5;1;1;1;1;1;3;5;4;4;4;11;6;11;6;9;5;9;10;10;10;6;6;9;4;4;4;3;5;3;6;1;1;4;1;4
;2023-05-22;11otr2gh;6;5;7;5;5;7;7;5;7;7;7;1;1;1;6;1;5;5;3;3;1;2;5;2;2;6;6;2;7;7;4;4;4;2;4;4;2;2;5;1;1;1;2;1;1;1;5;5;3;3;3;3;6;3;6;6;4;3;3;7;6;6;4;6;2;2;6;7;5;6;7;11;5;5;2;10;5;11;10;11;3;6;11;11;1;4;5;1;1;6;2;4;7;7;7;6
;2023-05-22;qig2a1s2;6;6;6;5;5;6;6;6;5;6;6;3;3;3;2;4;4;1;2;5;5;4;4;2;5;2;3;2;3;2;4;2;3;6;7;5;5;4;3;5;4;4;4;2;7;3;6;6;6;6;5;6;5;5;6;6;5;4;7;4;4;3;3;4;7;3;3;3;3;4;3;6;7;7;7;8;8;10;8;8;7;8;7;11;8;8;5;1;4;3;3;3;1;5;1;3
;2023-05-22;gy0dk4ej;5;5;5;5;4;3;4;4;6;4;5;2;2;2;3;2;4;3;3;2;5;4;3;3;2;5;5;4;4;5;4;3;4;5;6;5;3;4;2;4;3;3;3;5;5;2;3;2;3;3;5;6;3;4;5;5;4;3;3;4;4;3;3;3;4;4;3;4;3;4;4;7;8;9;9;8;8;8;8;6;8;9;9;8;7;8;6;2;3;2;6;3;2;3;1;3
;2023-05-22;e8xu16am;4;4;2;5;4;5;3;3;5;1;2;3;5;4;7;4;4;2;5;3;5;3;4;5;5;7;5;7;5;3;2;1;4;5;4;4;4;3;5;3;5;5;3;4;6;2;4;4;5;6;5;5;3;5;2;2;4;4;2;2;5;5;4;4;3;4;4;4;3;3;5;6;4;8;7;9;9;11;4;8;8;7;9;9;7;5;5;1;2;5;2;4;5;7;1;5
;2023-05-23;czen5l0x;4;4;5;3;3;3;4;3;2;2;2;4;4;3;5;2;2;4;5;1;5;2;4;5;4;7;7;5;7;7;4;2;4;6;6;7;6;7;2;7;6;2;7;7;6;4;4;7;7;4;7;7;7;1;6;6;4;1;4;2;2;2;4;4;4;2;4;6;5;6;5;1;3;2;2;2;2;3;3;2;3;3;2;5;3;2;7;5;4;3;1;4;4;4;1;3
;2023-05-27;lckb6r1n;5;3;4;4;2;3;3;6;6;6;6;2;2;2;2;1;4;1;2;2;1;1;4;4;4;4;5;5;3;1;2;2;2;7;7;6;1;1;1;2;1;1;3;5;7;1;6;6;7;7;7;7;1;1;3;2;1;1;1;1;2;1;1;1;5;1;1;2;1;2;1;6;1;1;1;3;5;4;4;4;5;2;3;7;2;2;6;1;2;2;3;6;6;7;1;6
;2023-05-28;u4x5lzw2;6;5;5;5;6;6;4;6;5;5;7;3;2;1;2;3;4;2;5;5;4;4;3;5;5;7;5;4;7;1;5;2;4;5;5;3;6;2;2;3;2;1;1;3;5;2;4;4;4;4;4;4;2;3;4;4;3;2;2;2;2;2;2;2;7;4;4;4;3;4;5;6;6;5;3;6;6;11;8;8;6;9;6;8;11;6;5;2;3;1;4;6;3;6;1;7
;2023-05-28;2soy75gc;7;1;5;5;4;4;5;2;2;2;3;6;6;6;6;2;5;2;4;3;4;2;5;4;3;7;7;5;7;7;7;6;7;6;6;7;1;1;1;1;1;2;1;2;2;1;1;1;1;1;5;5;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;9;8;11;11;11;11;11;11;11;11;11;11;11;11;11;3;1;1;7;7;1;4;5;1;5
;2023-05-28;94vj0ftw;5;4;4;6;6;6;6;6;6;7;5;1;1;1;3;2;4;5;4;2;2;2;4;4;5;7;6;6;6;2;7;6;7;4;6;6;2;4;5;2;5;2;3;1;5;1;5;5;5;5;5;5;2;2;1;1;3;2;4;6;7;4;4;4;7;4;4;5;2;5;5;8;2;9;9;10;10;11;11;11;10;10;7;9;10;10;2;6;3;5;3;1;4;4;1;4
;2023-05-28;eoxmu1zk;5;5;5;5;6;5;5;5;6;6;7;3;2;2;1;3;4;4;1;2;4;4;3;1;4;2;4;1;1;1;7;7;7;3;5;5;2;2;3;3;3;2;3;2;4;1;3;3;3;3;1;4;4;5;4;5;5;5;4;4;5;3;5;3;3;3;3;5;5;6;6;11;11;11;11;11;11;11;11;10;11;10;11;10;11;11;4;3;3;5;6;2;4;7;1;5
;2023-05-28;5p7u6ncy;6;5;5;5;5;6;6;4;4;7;3;2;1;1;5;2;5;2;2;1;5;4;5;2;5;6;2;4;3;6;4;4;5;6;6;5;4;3;1;1;3;1;5;4;6;2;6;6;3;4;6;5;1;4;4;6;6;7;6;5;4;5;2;2;4;4;5;6;4;3;2;8;9;11;10;10;8;11;11;11;10;10;10;9;11;11;6;1;2;3;7;5;1;4;1;4
;2023-05-28;4yitml3n;5;6;6;6;6;7;7;7;6;6;7;1;1;1;1;3;5;1;2;2;5;4;4;2;3;3;3;2;3;2;7;5;7;5;5;6;3;2;2;2;2;2;3;3;3;1;2;2;2;2;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;5;3;7;7;7;7;9;8;9;9;9;7;7;9;9;10;9;9;8;10;10;5;2;5;2;7;2;4;4;1;4
;2023-05-29;b2397n83;5;6;6;7;2;5;5;7;7;5;7;1;1;1;1;2;4;4;3;2;4;5;1;2;3;2;5;1;5;3;2;2;4;2;7;6;3;2;1;2;1;1;2;2;6;1;5;2;2;1;6;6;2;1;1;1;2;2;6;7;7;6;5;5;7;6;4;2;1;2;4;3;10;4;6;5;10;11;7;7;8;9;6;10;7;2;5;2;3;4;5;1;1;7;1;6
;2023-05-29;dxrf7y3e;4;5;5;5;5;4;5;3;3;3;3;3;3;3;6;1;4;2;3;3;2;2;4;5;5;6;6;7;7;5;6;5;7;5;7;5;4;6;3;5;3;6;6;3;6;3;3;6;6;6;6;6;4;3;6;6;5;4;4;5;5;5;5;5;6;4;3;4;4;5;5;9;8;8;9;9;10;10;10;7;10;8;7;7;8;7;6;4;4;2;2;3;1;5;1;5
;2023-06-04;ngoqu5fr;7;7;7;7;7;7;7;7;7;7;7;2;1;1;1;1;5;3;3;2;5;4;4;4;5;7;7;7;4;5;5;4;4;3;6;6;1;1;1;1;5;1;1;1;4;1;1;5;5;5;5;6;1;1;5;5;4;4;4;4;5;7;6;7;7;7;5;5;5;5;5;9;8;9;9;8;10;11;6;6;8;6;7;7;7;7;6;4;4;5;3;5;7;7;1;7
;2023-06-05;eoxmu1zk;6;5;6;6;6;5;7;6;6;7;7;1;1;1;1;3;4;4;1;2;4;4;3;1;4;3;4;2;2;2;7;7;7;4;6;5;2;2;1;5;2;1;5;5;5;1;2;2;2;3;2;2;2;2;3;4;5;6;5;5;6;6;7;6;6;6;6;6;6;6;6;10;11;11;11;11;11;9;9;9;11;10;11;11;11;11;6;2;3;6;2;3;5;6;1;5
;2023-06-12;eoxmu1zk;5;5;5;6;7;5;4;5;6;5;6;2;2;3;2;3;4;4;2;2;4;3;4;2;4;3;3;3;2;1;7;7;7;2;2;3;2;2;2;2;2;3;2;2;2;2;3;2;3;3;3;2;5;4;3;3;4;4;4;5;6;4;6;6;5;5;5;6;5;5;5;11;10;10;10;11;11;11;10;10;10;10;10;9;10;10;4;2;2;3;5;2;4;6;1;5
;2023-06-20;eoxmu1zk;7;7;6;4;4;4;4;4;4;4;4;3;1;1;3;3;4;4;1;2;4;4;3;2;4;2;2;2;3;1;6;6;6;3;3;3;3;2;3;3;3;3;3;3;2;2;2;3;2;3;3;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;4;5;4;5;5;9;9;9;8;9;10;10;10;10;9;10;10;9;9;9;2;3;3;5;3;5;6;6;1;6
;2023-06-22;lzfx0oul;6;6;6;6;5;5;6;7;6;6;7;1;1;1;1;1;4;3;3;4;2;4;5;4;4;5;4;3;2;2;6;5;5;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;3;3;2;2;2;2;2;2;3;5;5;4;4;4;2;2;2;4;4;4;4;8;9;10;10;10;10;3;8;6;10;10;10;10;10;11;2;2;3;2;3;3;2;3;1;3
;2023-06-25;ngoqu5fr;5;7;5;7;7;7;7;7;7;7;7;1;1;1;4;4;4;4;3;4;4;5;4;4;5;7;7;7;7;3;7;4;5;3;5;3;1;4;1;1;1;1;1;1;1;1;3;3;3;3;4;4;2;1;4;4;1;1;1;4;4;3;4;4;5;1;1;4;4;4;4;9;9;9;9;9;9;11;6;6;9;9;9;9;6;6;3;1;2;5;3;1;7;7;7;7
;2023-07-10;jzfcigxy;7;7;4;7;7;7;7;7;7;7;7;1;1;1;1;3;4;5;1;1;3;4;4;2;3;3;3;3;2;2;6;5;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;6;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;2;1;1;4;7;1;1;1;1;1
